Web Search interest: overwatch release date beta
Worldwide Sep-Oct 2015

Interest over time
Week,overwatch release date beta
2015-09-06 - 2015-09-12,34
2015-09-13 - 2015-09-19,32
2015-09-20 - 2015-09-26,30
2015-09-27 - 2015-10-03,26
2015-10-04 - 2015-10-10,30
2015-10-11 - 2015-10-17,29
2015-10-18 - 2015-10-24,40
2015-10-25 - 2015-10-31,100









