Web Search interest: overwatch release date beta
Worldwide Nov-Dec 2015

Interest over time
Week,overwatch release date beta
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,43
2015-11-22 - 2015-11-28,32
2015-11-29 - 2015-12-05,25
2015-12-06 - 2015-12-12,0
2015-12-13 - 2015-12-19,0
2015-12-20 - 2015-12-26,0









