Web Search interest: heroes of the storm builds
Worldwide Nov-Dec 2015

Interest over time
Week,heroes of the storm builds
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,88
2015-11-15 - 2015-11-21,89
2015-11-22 - 2015-11-28,100
2015-11-29 - 2015-12-05,65
2015-12-06 - 2015-12-12,63
2015-12-13 - 2015-12-19,67
2015-12-20 - 2015-12-26,80









