Web Search interest: heroes of the storm builds
Worldwide Mar-Apr 2015

Interest over time
Week,heroes of the storm builds
2015-03-01 - 2015-03-07,66
2015-03-08 - 2015-03-14,62
2015-03-15 - 2015-03-21,61
2015-03-22 - 2015-03-28,100
2015-03-29 - 2015-04-04,99
2015-04-05 - 2015-04-11,93
2015-04-12 - 2015-04-18,77
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,87









