Web Search interest: heroes of the storm builds
Worldwide May-Jun 2015

Interest over time
Week,heroes of the storm builds
2015-05-03 - 2015-05-09,38
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,47
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,85
2015-06-07 - 2015-06-13,100
2015-06-14 - 2015-06-20,81
2015-06-21 - 2015-06-27,62
2015-06-28 - 2015-07-04,65









