Web Search interest: dota 2 items
Worldwide May-Jun 2014

Interest over time
Day,dota 2 items
2014-05-01,15
2014-05-02,13
2014-05-03,20
2014-05-04,21
2014-05-05,15
2014-05-06,14
2014-05-07,16
2014-05-08,15
2014-05-09,17
2014-05-10,26
2014-05-11,28
2014-05-12,25
2014-05-13,20
2014-05-14,22
2014-05-15,22
2014-05-16,23
2014-05-17,24
2014-05-18,27
2014-05-19,20
2014-05-20,20
2014-05-21,21
2014-05-22,19
2014-05-23,18
2014-05-24,24
2014-05-25,25
2014-05-26,23
2014-05-27,18
2014-05-28,18
2014-05-29,19
2014-05-30,19
2014-05-31,100
2014-06-01,40
2014-06-02,26
2014-06-03,30
2014-06-04,23
2014-06-05,21
2014-06-06,27
2014-06-07,39
2014-06-08,35
2014-06-09,21
2014-06-10,20
2014-06-11,16
2014-06-12,18
2014-06-13,19
2014-06-14,22
2014-06-15,28
2014-06-16,23
2014-06-17,22
2014-06-18,18
2014-06-19,23
2014-06-20,21
2014-06-21,31
2014-06-22,29
2014-06-23,26
2014-06-24,22
2014-06-25,17
2014-06-26,21
2014-06-27,22
2014-06-28,30
2014-06-29,30
2014-06-30,20




Top cities for dota 2 items
Town/City,dota 2 items
Singapore (Singapore),100



Top searches for dota 2 items
dota trade,100
dota 2 trade,95
dota 2 compendium,95
dota 2 market,65
dota 2 lounge,50



Rising searches for dota 2 items
dota 2 compendium,Breakout
dota 2 lounge,+50%



