Web Search interest: dota 2 items
Worldwide Sep-Oct 2015

Interest over time
Day,dota 2 items
2015-09-01,94
2015-09-02,72
2015-09-03,74
2015-09-04,79
2015-09-05,73
2015-09-06,85
2015-09-07,61
2015-09-08,84
2015-09-09,64
2015-09-10,61
2015-09-11,64
2015-09-12,73
2015-09-13,66
2015-09-14,82
2015-09-15,70
2015-09-16,46
2015-09-17,66
2015-09-18,59
2015-09-19,75
2015-09-20,66
2015-09-21,75
2015-09-22,61
2015-09-23,55
2015-09-24,57
2015-09-25,73
2015-09-26,79
2015-09-27,88
2015-09-28,64
2015-09-29,53
2015-09-30,69
2015-10-01,42
2015-10-02,64
2015-10-03,100
2015-10-04,88
2015-10-05,50
2015-10-06,55
2015-10-07,55
2015-10-08,52
2015-10-09,40
2015-10-10,67
2015-10-11,71
2015-10-12,75
2015-10-13,58
2015-10-14,60
2015-10-15,45
2015-10-16,46
2015-10-17,71
2015-10-18,65
2015-10-19,59
2015-10-20,48
2015-10-21,52
2015-10-22,58
2015-10-23,62
2015-10-24,81
2015-10-25,73
2015-10-26,59
2015-10-27,51
2015-10-28,44
2015-10-29,56
2015-10-30,60
2015-10-31,74









