Web Search interest: dota 2 items
Worldwide Mar-Apr 2014

Interest over time
Day,dota 2 items
2014-03-01,75
2014-03-02,91
2014-03-03,76
2014-03-04,63
2014-03-05,75
2014-03-06,62
2014-03-07,70
2014-03-08,91
2014-03-09,82
2014-03-10,59
2014-03-11,65
2014-03-12,54
2014-03-13,65
2014-03-14,69
2014-03-15,79
2014-03-16,82
2014-03-17,63
2014-03-18,57
2014-03-19,70
2014-03-20,86
2014-03-21,66
2014-03-22,83
2014-03-23,90
2014-03-24,64
2014-03-25,66
2014-03-26,59
2014-03-27,54
2014-03-28,64
2014-03-29,100
2014-03-30,78
2014-03-31,69
2014-04-01,51
2014-04-02,57
2014-04-03,70
2014-04-04,61
2014-04-05,77
2014-04-06,79
2014-04-07,68
2014-04-08,57
2014-04-09,67
2014-04-10,77
2014-04-11,70
2014-04-12,79
2014-04-13,66
2014-04-14,62
2014-04-15,69
2014-04-16,57
2014-04-17,74
2014-04-18,92
2014-04-19,83
2014-04-20,97
2014-04-21,67
2014-04-22,76
2014-04-23,58
2014-04-24,60
2014-04-25,79
2014-04-26,98
2014-04-27,65
2014-04-28,54
2014-04-29,71
2014-04-30,87









