Web Search interest: dota 2 items
Worldwide Nov-Dec 2014

Interest over time
Day,dota 2 items
2014-11-01,83
2014-11-02,100
2014-11-03,59
2014-11-04,54
2014-11-05,48
2014-11-06,75
2014-11-07,75
2014-11-08,79
2014-11-09,78
2014-11-10,56
2014-11-11,71
2014-11-12,59
2014-11-13,61
2014-11-14,56
2014-11-15,83
2014-11-16,73
2014-11-17,56
2014-11-18,64
2014-11-19,69
2014-11-20,60
2014-11-21,67
2014-11-22,89
2014-11-23,76
2014-11-24,58
2014-11-25,65
2014-11-26,54
2014-11-27,60
2014-11-28,47
2014-11-29,63
2014-11-30,65
2014-12-01,45
2014-12-02,55
2014-12-03,44
2014-12-04,47
2014-12-05,56
2014-12-06,64
2014-12-07,61
2014-12-08,58
2014-12-09,60
2014-12-10,51
2014-12-11,42
2014-12-12,49
2014-12-13,62
2014-12-14,72
2014-12-15,50
2014-12-16,66
2014-12-17,60
2014-12-18,61
2014-12-19,58
2014-12-20,83
2014-12-21,73
2014-12-22,64
2014-12-23,60
2014-12-24,87
2014-12-25,70
2014-12-26,57
2014-12-27,64
2014-12-28,53
2014-12-29,68
2014-12-30,56
2014-12-31,56









