Web Search interest: dota 2 items
Worldwide Nov-Dec 2015

Interest over time
Day,dota 2 items
2015-11-01,65
2015-11-02,47
2015-11-03,45
2015-11-04,52
2015-11-05,67
2015-11-06,56
2015-11-07,71
2015-11-08,58
2015-11-09,39
2015-11-10,51
2015-11-11,39
2015-11-12,41
2015-11-13,48
2015-11-14,62
2015-11-15,59
2015-11-16,58
2015-11-17,45
2015-11-18,67
2015-11-19,63
2015-11-20,48
2015-11-21,72
2015-11-22,70
2015-11-23,45
2015-11-24,63
2015-11-25,57
2015-11-26,52
2015-11-27,49
2015-11-28,63
2015-11-29,61
2015-11-30,45
2015-12-01,50
2015-12-02,48
2015-12-03,54
2015-12-04,53
2015-12-05,57
2015-12-06,56
2015-12-07,48
2015-12-08,65
2015-12-09,57
2015-12-10,50
2015-12-11,61
2015-12-12,57
2015-12-13,54
2015-12-14,52
2015-12-15,53
2015-12-16,73
2015-12-17,94
2015-12-18,100
2015-12-19,94
2015-12-20,77
2015-12-21,74
2015-12-22,59
2015-12-23,66
2015-12-24,76
2015-12-25, 
2015-12-26, 









