Web Search interest: dota 2 items
Worldwide Jul-Aug 2015

Interest over time
Day,dota 2 items
2015-07-01,39
2015-07-02,37
2015-07-03,42
2015-07-04,50
2015-07-05,46
2015-07-06,43
2015-07-07,44
2015-07-08,51
2015-07-09,48
2015-07-10,41
2015-07-11,77
2015-07-12,47
2015-07-13,42
2015-07-14,45
2015-07-15,45
2015-07-16,42
2015-07-17,38
2015-07-18,58
2015-07-19,57
2015-07-20,39
2015-07-21,37
2015-07-22,33
2015-07-23,57
2015-07-24,45
2015-07-25,48
2015-07-26,61
2015-07-27,61
2015-07-28,62
2015-07-29,65
2015-07-30,59
2015-07-31,53
2015-08-01,80
2015-08-02,70
2015-08-03,61
2015-08-04,63
2015-08-05,69
2015-08-06,69
2015-08-07,67
2015-08-08,100
2015-08-09,74
2015-08-10,60
2015-08-11,47
2015-08-12,47
2015-08-13,49
2015-08-14,61
2015-08-15,73
2015-08-16,56
2015-08-17,53
2015-08-18,49
2015-08-19,51
2015-08-20,43
2015-08-21,48
2015-08-22,71
2015-08-23,60
2015-08-24,42
2015-08-25,45
2015-08-26,42
2015-08-27,37
2015-08-28,41
2015-08-29,53
2015-08-30,56
2015-08-31,43









