Web Search interest: dota 2 items
Worldwide Sep-Oct 2014

Interest over time
Day,dota 2 items
2014-09-01,63
2014-09-02,54
2014-09-03,56
2014-09-04,71
2014-09-05,89
2014-09-06,87
2014-09-07,100
2014-09-08,54
2014-09-09,60
2014-09-10,70
2014-09-11,44
2014-09-12,73
2014-09-13,69
2014-09-14,82
2014-09-15,63
2014-09-16,66
2014-09-17,68
2014-09-18,62
2014-09-19,58
2014-09-20,80
2014-09-21,84
2014-09-22,56
2014-09-23,61
2014-09-24,64
2014-09-25,64
2014-09-26,81
2014-09-27,87
2014-09-28,83
2014-09-29,59
2014-09-30,61
2014-10-01,64
2014-10-02,49
2014-10-03,66
2014-10-04,79
2014-10-05,83
2014-10-06,62
2014-10-07,65
2014-10-08,60
2014-10-09,55
2014-10-10,64
2014-10-11,78
2014-10-12,79
2014-10-13,61
2014-10-14,62
2014-10-15,48
2014-10-16,67
2014-10-17,49
2014-10-18,76
2014-10-19,75
2014-10-20,59
2014-10-21,59
2014-10-22,64
2014-10-23,60
2014-10-24,61
2014-10-25,70
2014-10-26,71
2014-10-27,62
2014-10-28,52
2014-10-29,61
2014-10-30,54
2014-10-31,70



Top searches for dota 2 items
dota trade,100






