Web Search interest: dota 2 items
Worldwide Jan-Feb 2015

Interest over time
Day,dota 2 items
2015-01-01,84
2015-01-02,86
2015-01-03,93
2015-01-04,96
2015-01-05,83
2015-01-06,67
2015-01-07,78
2015-01-08,58
2015-01-09,73
2015-01-10,90
2015-01-11,72
2015-01-12,63
2015-01-13,77
2015-01-14,48
2015-01-15,61
2015-01-16,66
2015-01-17,100
2015-01-18,78
2015-01-19,56
2015-01-20,73
2015-01-21,52
2015-01-22,51
2015-01-23,48
2015-01-24,76
2015-01-25,84
2015-01-26,60
2015-01-27,69
2015-01-28,85
2015-01-29,52
2015-01-30,63
2015-01-31,91
2015-02-01,85
2015-02-02,59
2015-02-03,74
2015-02-04,51
2015-02-05,59
2015-02-06,53
2015-02-07,77
2015-02-08,88
2015-02-09,62
2015-02-10,53
2015-02-11,84
2015-02-12,75
2015-02-13,67
2015-02-14,72
2015-02-15,83
2015-02-16,61
2015-02-17,74
2015-02-18,85
2015-02-19,72
2015-02-20,83
2015-02-21,68
2015-02-22,84
2015-02-23,64
2015-02-24,65
2015-02-25,62
2015-02-26,45
2015-02-27,61
2015-02-28,74




Top cities for dota 2 items
Town/City,dota 2 items
Quezon City (Philippines),100









