Web Search interest: dota 2 items
Worldwide Jul-Aug 2014

Interest over time
Day,dota 2 items
2014-07-01,41
2014-07-02,43
2014-07-03,54
2014-07-04,58
2014-07-05,68
2014-07-06,68
2014-07-07,47
2014-07-08,69
2014-07-09,65
2014-07-10,59
2014-07-11,65
2014-07-12,75
2014-07-13,68
2014-07-14,60
2014-07-15,53
2014-07-16,55
2014-07-17,77
2014-07-18,76
2014-07-19,90
2014-07-20,100
2014-07-21,71
2014-07-22,50
2014-07-23,57
2014-07-24,51
2014-07-25,55
2014-07-26,59
2014-07-27,52
2014-07-28,52
2014-07-29,62
2014-07-30,55
2014-07-31,37
2014-08-01,51
2014-08-02,55
2014-08-03,54
2014-08-04,50
2014-08-05,48
2014-08-06,44
2014-08-07,54
2014-08-08,58
2014-08-09,58
2014-08-10,50
2014-08-11,45
2014-08-12,51
2014-08-13,34
2014-08-14,39
2014-08-15,65
2014-08-16,52
2014-08-17,60
2014-08-18,47
2014-08-19,43
2014-08-20,41
2014-08-21,38
2014-08-22,40
2014-08-23,50
2014-08-24,42
2014-08-25,37
2014-08-26,34
2014-08-27,33
2014-08-28,40
2014-08-29,43
2014-08-30,50
2014-08-31,43



Top searches for dota 2 items
dota trade,100
dota 2 trade,90
dota 2 market,70
dota 2 heroes,55






