Web Search interest: magicka 2
Worldwide Jul-Aug 2015

Interest over time
Day,magicka 2
2015-07-01,58
2015-07-02,83
2015-07-03,92
2015-07-04,100
2015-07-05,94
2015-07-06,50
2015-07-07,49
2015-07-08,69
2015-07-09,63
2015-07-10,65
2015-07-11,62
2015-07-12,68
2015-07-13,50
2015-07-14,60
2015-07-15,70
2015-07-16,79
2015-07-17,74
2015-07-18,74
2015-07-19,74
2015-07-20,74
2015-07-21,63
2015-07-22,63
2015-07-23,63
2015-07-24,75
2015-07-25,87
2015-07-26,87
2015-07-27,68
2015-07-28,54
2015-07-29,55
2015-07-30,57
2015-07-31,55
2015-08-01,79
2015-08-02,67
2015-08-03,67
2015-08-04,67
2015-08-05,67
2015-08-06,67
2015-08-07,58
2015-08-08,58
2015-08-09,58
2015-08-10,58
2015-08-11,58
2015-08-12,76
2015-08-13,60
2015-08-14,60
2015-08-15,61
2015-08-16,61
2015-08-17,61
2015-08-18,57
2015-08-19,54
2015-08-20,54
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,50
2015-08-28,66
2015-08-29,83
2015-08-30,90
2015-08-31,97









