Web Search interest: magicka 2
Worldwide May-Jun 2015

Interest over time
Day,magicka 2
2015-05-01,8
2015-05-02,8
2015-05-03,8
2015-05-04,10
2015-05-05,12
2015-05-06,15
2015-05-07,14
2015-05-08,9
2015-05-09,12
2015-05-10,13
2015-05-11,10
2015-05-12,10
2015-05-13,9
2015-05-14,8
2015-05-15,8
2015-05-16,15
2015-05-17,13
2015-05-18,8
2015-05-19,7
2015-05-20,10
2015-05-21,9
2015-05-22,12
2015-05-23,12
2015-05-24,16
2015-05-25,29
2015-05-26,93
2015-05-27,100
2015-05-28,69
2015-05-29,57
2015-05-30,63
2015-05-31,53
2015-06-01,32
2015-06-02,32
2015-06-03,26
2015-06-04,27
2015-06-05,21
2015-06-06,31
2015-06-07,32
2015-06-08,22
2015-06-09,17
2015-06-10,14
2015-06-11,17
2015-06-12,20
2015-06-13,25
2015-06-14,21
2015-06-15,11
2015-06-16,10
2015-06-17,10
2015-06-18,17
2015-06-19,12
2015-06-20,16
2015-06-21,16
2015-06-22,9
2015-06-23,10
2015-06-24,10
2015-06-25,11
2015-06-26,10
2015-06-27,13
2015-06-28,11
2015-06-29,7
2015-06-30,8



Top searches for magicka 2
magicka 2 ps4,100
magicka 2 steam,100
magicka 2 spells,60
magicka 2 review,55



Rising searches for magicka 2
magicka 2 review,Breakout
magicka 2 spells,Breakout
magicka 2 скачать,Breakout



