Web Search interest: magicka 2
Worldwide May-Jun 2011

Interest over time
Week,magicka 2
2011-05-01 - 2011-05-07,71
2011-05-08 - 2011-05-14,87
2011-05-15 - 2011-05-21,93
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,58
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,86
2011-06-26 - 2011-07-02,100









