Web Search interest: magica 2
Worldwide Sep-Oct 2014

Interest over time
Day,magica 2
2014-09-01,100
2014-09-02,59
2014-09-03,68
2014-09-04,51
2014-09-05,66
2014-09-06,99
2014-09-07,92
2014-09-08,54
2014-09-09,51
2014-09-10,49
2014-09-11,59
2014-09-12,62
2014-09-13,86
2014-09-14,96
2014-09-15,55
2014-09-16,45
2014-09-17,53
2014-09-18,55
2014-09-19,60
2014-09-20,91
2014-09-21,84
2014-09-22,62
2014-09-23,41
2014-09-24,48
2014-09-25,57
2014-09-26,54
2014-09-27,90
2014-09-28,76
2014-09-29,48
2014-09-30,45
2014-10-01,57
2014-10-02,47
2014-10-03,59
2014-10-04,73
2014-10-05,69
2014-10-06,34
2014-10-07,60
2014-10-08,50
2014-10-09,49
2014-10-10,55
2014-10-11,74
2014-10-12,70
2014-10-13,71
2014-10-14,54
2014-10-15,47
2014-10-16,65
2014-10-17,52
2014-10-18,90
2014-10-19,91
2014-10-20,57
2014-10-21,46
2014-10-22,55
2014-10-23,55
2014-10-24,55
2014-10-25,88
2014-10-26,81
2014-10-27,45
2014-10-28,35
2014-10-29,49
2014-10-30,47
2014-10-31,53



Top searches for magica 2
ars magica 2,100
ars magica,100
madoka magica,15






