Web Search interest: magicka 2
Worldwide Mar-Apr 2011

Interest over time
Week,magicka 2
2011-03-06 - 2011-03-12,76
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,59
2011-04-10 - 2011-04-16,100
2011-04-17 - 2011-04-23,88
2011-04-24 - 2011-04-30,65









