Web Search interest: magicka 2
Worldwide Jul-Aug 2013

Interest over time
Week,magicka 2
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,100
2013-07-21 - 2013-07-27,75
2013-07-28 - 2013-08-03,62
2013-08-04 - 2013-08-10,69
2013-08-11 - 2013-08-17,66
2013-08-18 - 2013-08-24,80
2013-08-25 - 2013-08-31,84









