Web Search interest: magica 2
Worldwide Jan-Feb 2015

Interest over time
Day,magica 2
2015-01-01,78
2015-01-02,68
2015-01-03,53
2015-01-04,66
2015-01-05,51
2015-01-06,34
2015-01-07,46
2015-01-08,44
2015-01-09,54
2015-01-10,60
2015-01-11,89
2015-01-12,46
2015-01-13,40
2015-01-14,45
2015-01-15,44
2015-01-16,58
2015-01-17,42
2015-01-18,56
2015-01-19,54
2015-01-20,41
2015-01-21,48
2015-01-22,37
2015-01-23,34
2015-01-24,60
2015-01-25,70
2015-01-26,42
2015-01-27,37
2015-01-28,51
2015-01-29,49
2015-01-30,35
2015-01-31,73
2015-02-01,62
2015-02-02,54
2015-02-03,32
2015-02-04,39
2015-02-05,46
2015-02-06,57
2015-02-07,55
2015-02-08,78
2015-02-09,43
2015-02-10,48
2015-02-11,54
2015-02-12,48
2015-02-13,56
2015-02-14,54
2015-02-15,76
2015-02-16,83
2015-02-17,56
2015-02-18,61
2015-02-19,61
2015-02-20,63
2015-02-21,71
2015-02-22,82
2015-02-23,58
2015-02-24,50
2015-02-25,51
2015-02-26,43
2015-02-27,43
2015-02-28,100



Top searches for magica 2
ars magica 2,100
ars magica,100
madoka magica,20






