Web Search interest: magicka 2
Worldwide Jul-Aug 2011

Interest over time
Week,magicka 2
2011-07-03 - 2011-07-09,100
2011-07-10 - 2011-07-16,93
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,73
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,64
2011-08-28 - 2011-09-03,64









