Web Search interest: magica 2
Worldwide May-Jun 2015

Interest over time
Day,magica 2
2015-05-01,67
2015-05-02,82
2015-05-03,74
2015-05-04,54
2015-05-05,51
2015-05-06,44
2015-05-07,52
2015-05-08,46
2015-05-09,64
2015-05-10,72
2015-05-11,44
2015-05-12,50
2015-05-13,63
2015-05-14,51
2015-05-15,51
2015-05-16,54
2015-05-17,81
2015-05-18,54
2015-05-19,51
2015-05-20,51
2015-05-21,49
2015-05-22,51
2015-05-23,76
2015-05-24,86
2015-05-25,74
2015-05-26,64
2015-05-27,78
2015-05-28,72
2015-05-29,69
2015-05-30,87
2015-05-31,71
2015-06-01,57
2015-06-02,56
2015-06-03,56
2015-06-04,77
2015-06-05,60
2015-06-06,71
2015-06-07,100
2015-06-08,78
2015-06-09,62
2015-06-10,60
2015-06-11,47
2015-06-12,61
2015-06-13,70
2015-06-14,82
2015-06-15,49
2015-06-16,49
2015-06-17,58
2015-06-18,50
2015-06-19,37
2015-06-20,62
2015-06-21,65
2015-06-22,52
2015-06-23,56
2015-06-24,48
2015-06-25,54
2015-06-26,62
2015-06-27,60
2015-06-28,61
2015-06-29,45
2015-06-30,52



Top searches for magica 2
ars magica,100
ars magica 2,100
madoka magica,20






