Web Search interest: magicka 2
Worldwide Jan-Feb 2014

Interest over time
Week,magicka 2
2014-01-05 - 2014-01-11,84
2014-01-12 - 2014-01-18,89
2014-01-19 - 2014-01-25,89
2014-01-26 - 2014-02-01,83
2014-02-02 - 2014-02-08,86
2014-02-09 - 2014-02-15,100
2014-02-16 - 2014-02-22,78
2014-02-23 - 2014-03-01,78









