Web Search interest: magica 2
Worldwide Nov-Dec 2014

Interest over time
Day,magica 2
2014-11-01,68
2014-11-02,73
2014-11-03,54
2014-11-04,44
2014-11-05,43
2014-11-06,50
2014-11-07,54
2014-11-08,47
2014-11-09,57
2014-11-10,43
2014-11-11,47
2014-11-12,41
2014-11-13,40
2014-11-14,44
2014-11-15,58
2014-11-16,63
2014-11-17,43
2014-11-18,47
2014-11-19,44
2014-11-20,48
2014-11-21,37
2014-11-22,67
2014-11-23,73
2014-11-24,41
2014-11-25,41
2014-11-26,41
2014-11-27,52
2014-11-28,36
2014-11-29,65
2014-11-30,73
2014-12-01,48
2014-12-02,38
2014-12-03,42
2014-12-04,40
2014-12-05,51
2014-12-06,56
2014-12-07,64
2014-12-08,46
2014-12-09,32
2014-12-10,36
2014-12-11,45
2014-12-12,39
2014-12-13,67
2014-12-14,55
2014-12-15,40
2014-12-16,50
2014-12-17,48
2014-12-18,45
2014-12-19,52
2014-12-20,42
2014-12-21,54
2014-12-22,53
2014-12-23,55
2014-12-24,52
2014-12-25,52
2014-12-26,52
2014-12-27,55
2014-12-28,100
2014-12-29,43
2014-12-30,45
2014-12-31,51



Top searches for magica 2
ars magica,100
ars magica 2,100
madoka magica,15






