Web Search interest: magica 2
Worldwide Jul-Aug 2015

Interest over time
Day,magica 2
2015-07-01,52
2015-07-02,61
2015-07-03,66
2015-07-04,72
2015-07-05,78
2015-07-06,67
2015-07-07,84
2015-07-08,60
2015-07-09,53
2015-07-10,83
2015-07-11,79
2015-07-12,94
2015-07-13,79
2015-07-14,67
2015-07-15,66
2015-07-16,77
2015-07-17,60
2015-07-18,100
2015-07-19,79
2015-07-20,69
2015-07-21,70
2015-07-22,66
2015-07-23,79
2015-07-24,70
2015-07-25,75
2015-07-26,89
2015-07-27,79
2015-07-28,63
2015-07-29,92
2015-07-30,82
2015-07-31,84
2015-08-01,85
2015-08-02,96
2015-08-03,66
2015-08-04,76
2015-08-05,67
2015-08-06,49
2015-08-07,70
2015-08-08,78
2015-08-09,64
2015-08-10,84
2015-08-11,67
2015-08-12,79
2015-08-13,69
2015-08-14,62
2015-08-15,62
2015-08-16,84
2015-08-17,82
2015-08-18,59
2015-08-19,65
2015-08-20,54
2015-08-21,74
2015-08-22,86
2015-08-23,75
2015-08-24,46
2015-08-25,56
2015-08-26,66
2015-08-27,65
2015-08-28,68
2015-08-29,71
2015-08-30,86
2015-08-31,53



Top searches for magica 2
ars magica 2,100
madoka magica,25






