Web Search interest: magicka 2
Worldwide Jan-Feb 2015

Interest over time
Week,magicka 2
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,39
2015-01-25 - 2015-01-31,100
2015-02-01 - 2015-02-07,56
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,79
2015-02-22 - 2015-02-28,67









