Web Search interest: magica 2
Worldwide Sep-Oct 2015

Interest over time
Day,magica 2
2015-09-01,0
2015-09-02,0
2015-09-03,53
2015-09-04,54
2015-09-05,53
2015-09-06,51
2015-09-07,51
2015-09-08,46
2015-09-09,46
2015-09-10,46
2015-09-11,63
2015-09-12,70
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,55
2015-09-19,100
2015-09-20,65
2015-09-21,45
2015-09-22,45
2015-09-23,48
2015-09-24,51
2015-09-25,55
2015-09-26,63
2015-09-27,53
2015-09-28,41
2015-09-29,45
2015-09-30,48
2015-10-01,52
2015-10-02,56
2015-10-03,78
2015-10-04,75
2015-10-05,53
2015-10-06,53
2015-10-07,42
2015-10-08,42
2015-10-09,53
2015-10-10,74
2015-10-11,62
2015-10-12,40
2015-10-13,40
2015-10-14,40
2015-10-15,63
2015-10-16,50
2015-10-17,63
2015-10-18,66
2015-10-19,58
2015-10-20,54
2015-10-21,54
2015-10-22,54
2015-10-23,50
2015-10-24,66
2015-10-25,64
2015-10-26,38
2015-10-27,50
2015-10-28,42
2015-10-29,42
2015-10-30,58
2015-10-31,57



Top searches for magica 2
ars magica 2,100
madoka magica,30






