Web Search interest: league of legends
Worldwide Jul-Aug 2011

Interest over time
Day,league of legends
2011-07-01,58
2011-07-02,64
2011-07-03,82
2011-07-04,58
2011-07-05,57
2011-07-06,55
2011-07-07,56
2011-07-08,70
2011-07-09,83
2011-07-10,72
2011-07-11,55
2011-07-12,55
2011-07-13,65
2011-07-14,57
2011-07-15,56
2011-07-16,65
2011-07-17,65
2011-07-18,58
2011-07-19,64
2011-07-20,79
2011-07-21,55
2011-07-22,55
2011-07-23,67
2011-07-24,66
2011-07-25,57
2011-07-26,74
2011-07-27,70
2011-07-28,61
2011-07-29,61
2011-07-30,72
2011-07-31,71
2011-08-01,60
2011-08-02,59
2011-08-03,58
2011-08-04,65
2011-08-05,62
2011-08-06,71
2011-08-07,70
2011-08-08,60
2011-08-09,80
2011-08-10,78
2011-08-11,62
2011-08-12,60
2011-08-13,78
2011-08-14,74
2011-08-15,69
2011-08-16,68
2011-08-17,64
2011-08-18,71
2011-08-19,79
2011-08-20,95
2011-08-21,94
2011-08-22,69
2011-08-23,69
2011-08-24,100
2011-08-25,93
2011-08-26,70
2011-08-27,89
2011-08-28,90
2011-08-29,70
2011-08-30,71
2011-08-31,62


Top regions for league of legends
Region,league of legends
Greece,100
Denmark,92
Sweden,87
Bulgaria,73
Norway,72
Czech Republic,70
Serbia,70
Portugal,69
Poland,58
Canada,55
Germany,54
Philippines,50
Finland,49
Hungary,42
Austria,41
Romania,40
United States,37
Australia,37
Netherlands,31
Belgium,29
Spain,26
Russia,23
Argentina,16
France,15
United Kingdom,14
Brazil,13
Turkey,8
Mexico,8
Italy,8


Top cities for league of legends
Town/City,league of legends
Athens (Greece),100
Vancouver (Canada),85
Hanover (Germany),79
Calgary (Canada),74
Cracow (Poland),65
Stockholm (Sweden),62
Hamburg (Germany),56
Manila (Philippines),56
Seattle (United States),46
Bucharest (Romania),43
Warsaw (Poland),42
Berlin (Germany),41
Munich (Germany),40
San Francisco (United States),40
Toronto (Canada),39



Top searches for league of legends
lol,100
league wiki,60
champions league,30
dominion,20
league of legend,20
leona,15
riot,15
mobafire,10
tribunal,10
elo,10
ashe,10
talon,10
heroes of newerth,10
wukong,10
lol download,10
leaguecraft,10
skarner,5
gamescom,5
solomid,5
dota 2,5
lol wiki,5
leage of legends,5
kayle,5
leauge of legends,5
tryndamere,5
nocturne,5
dreamhack,5
pantheon,5
champion rotation,5
lol game,5
nidalee,5
sona,5
own3d,5
mordekaiser,5
monkey king,5
elementz,5
yorick,5
morgana,5
riot games,5



Rising searches for league of legends
dominion,Breakout
gamescom,Breakout
skarner,Breakout
talon,Breakout
wukong,Breakout
leona,+550%
dota 2,+110%
kayle,+60%
pantheon,+50%



