Web Search interest: league of legends
Worldwide May-Jun 2011

Interest over time
Day,league of legends
2011-05-01,52
2011-05-02,40
2011-05-03,45
2011-05-04,45
2011-05-05,47
2011-05-06,45
2011-05-07,56
2011-05-08,50
2011-05-09,40
2011-05-10,53
2011-05-11,55
2011-05-12,40
2011-05-13,42
2011-05-14,50
2011-05-15,52
2011-05-16,40
2011-05-17,41
2011-05-18,40
2011-05-19,40
2011-05-20,43
2011-05-21,52
2011-05-22,49
2011-05-23,40
2011-05-24,48
2011-05-25,53
2011-05-26,47
2011-05-27,47
2011-05-28,59
2011-05-29,62
2011-05-30,46
2011-05-31,48
2011-06-01,44
2011-06-02,48
2011-06-03,52
2011-06-04,52
2011-06-05,51
2011-06-06,38
2011-06-07,38
2011-06-08,43
2011-06-09,47
2011-06-10,45
2011-06-11,61
2011-06-12,54
2011-06-13,44
2011-06-14,54
2011-06-15,46
2011-06-16,49
2011-06-17,48
2011-06-18,92
2011-06-19,100
2011-06-20,74
2011-06-21,64
2011-06-22,67
2011-06-23,80
2011-06-24,62
2011-06-25,69
2011-06-26,64
2011-06-27,52
2011-06-28,51
2011-06-29,62
2011-06-30,64


Top regions for league of legends
Region,league of legends
Greece,100
Denmark,100
Sweden,88
Portugal,77
Norway,68
Philippines,66
Germany,60
Poland,56
Canada,49
Finland,48
Austria,44
Hungary,44
Romania,35
United States,34
Australia,33
Netherlands,33
Belgium,29
Spain,26
Russia,23
Argentina,16
France,14
United Kingdom,13
Brazil,12
Turkey,7
Italy,7


Top cities for league of legends
Town/City,league of legends
Thessaloniki (Greece),100
Hanover (Germany),60
Athens (Greece),59
Vancouver (Canada),57
Belgrade (Serbia),48
Manila (Philippines),45
Cracow (Poland),41
Cologne (Germany),38
Hamburg (Germany),38
Stockholm (Sweden),36
Frankfurt (Germany),33
Berlin (Germany),30
Munich (Germany),26
Vienna (Austria),26
San Francisco (United States),25



Top searches for league of legends
lol,100
league wiki,50
tribunal,25
league of legend,15
dreamhack,15
mobafire,15
riot,10
leaguecraft,10
vayne,10
yorick,10
ashe,10
elo,10
download lol,10
jax,5
heroes of newerth,5
lol wiki,5
leage of legends,5
solomid,5
orianna,5
vladimir,5
teemo,5
rumble,5
leauge of legends,5
own3d,5
master yi,5
mordekaiser,5
league craft,5
sona,5
legue of legends,5
irelia,5
leagueoflegends,5
lol game,5
clg,5
lol eu,5
pantheon,5
dota 2,5
riot games,5



Rising searches for league of legends
dreamhack,Breakout
fnatic,Breakout
lulzsec,Breakout
orianna,Breakout
vayne,Breakout
yorick,Breakout
tribunal,+1,800%
solomid,+100%
gangplank,+80%
own3d,+80%



