Web Search interest: league of legends
Worldwide May-Jun 2009

Interest over time
Week,league of legends
2009-05-03 - 2009-05-09,63
2009-05-10 - 2009-05-16,69
2009-05-17 - 2009-05-23,97
2009-05-24 - 2009-05-30,73
2009-05-31 - 2009-06-06,68
2009-06-07 - 2009-06-13,100
2009-06-14 - 2009-06-20,87
2009-06-21 - 2009-06-27,91
2009-06-28 - 2009-07-04,73









