Web Search interest: league of legends
Worldwide May-Jun 2010

Interest over time
Day,league of legends
2010-05-01,67
2010-05-02,68
2010-05-03,52
2010-05-04,50
2010-05-05,49
2010-05-06,44
2010-05-07,46
2010-05-08,59
2010-05-09,66
2010-05-10,50
2010-05-11,66
2010-05-12,70
2010-05-13,67
2010-05-14,71
2010-05-15,90
2010-05-16,92
2010-05-17,63
2010-05-18,55
2010-05-19,49
2010-05-20,52
2010-05-21,56
2010-05-22,77
2010-05-23,78
2010-05-24,59
2010-05-25,76
2010-05-26,66
2010-05-27,60
2010-05-28,62
2010-05-29,78
2010-05-30,81
2010-05-31,76
2010-06-01,72
2010-06-02,84
2010-06-03,68
2010-06-04,79
2010-06-05,79
2010-06-06,78
2010-06-07,65
2010-06-08,85
2010-06-09,72
2010-06-10,61
2010-06-11,70
2010-06-12,82
2010-06-13,89
2010-06-14,68
2010-06-15,68
2010-06-16,64
2010-06-17,62
2010-06-18,70
2010-06-19,95
2010-06-20,90
2010-06-21,86
2010-06-22,82
2010-06-23,62
2010-06-24,86
2010-06-25,99
2010-06-26,93
2010-06-27,100
2010-06-28,78
2010-06-29,89
2010-06-30,79


Top regions for league of legends
Region,league of legends
Canada,100
Germany,93
Poland,92
United States,67
France,55
Spain,45


Top cities for league of legends
Town/City,league of legends
Montréal (Canada),100
San Francisco (United States),84
Los Angeles (United States),81
Toronto (Canada),79
Vienna (Austria),67
Warsaw (Poland),64
Frankfurt (Germany),48
Amsterdam (Netherlands),39
Paris (France),35
Madrid (Spain),28
London (United Kingdom),16



Top searches for league of legends
lol,100
league of legend,20
heroes of newerth,15
akali,10
leaguecraft,10
lol europe,10
leage of legends,10
lol download,5
pantheon,5



Rising searches for league of legends
akali,Breakout



