Web Search interest: league of legends
Worldwide Sep-Oct 2011

Interest over time
Day,league of legends
2011-09-01,75
2011-09-02,74
2011-09-03,94
2011-09-04,85
2011-09-05,69
2011-09-06,72
2011-09-07,66
2011-09-08,74
2011-09-09,68
2011-09-10,89
2011-09-11,82
2011-09-12,65
2011-09-13,70
2011-09-14,86
2011-09-15,89
2011-09-16,77
2011-09-17,94
2011-09-18,90
2011-09-19,67
2011-09-20,72
2011-09-21,81
2011-09-22,69
2011-09-23,76
2011-09-24,100
2011-09-25,88
2011-09-26,71
2011-09-27,71
2011-09-28,66
2011-09-29,66
2011-09-30,68
2011-10-01,91
2011-10-02,84
2011-10-03,67
2011-10-04,67
2011-10-05,79
2011-10-06,72
2011-10-07,68
2011-10-08,90
2011-10-09,94
2011-10-10,68
2011-10-11,72
2011-10-12,66
2011-10-13,65
2011-10-14,69
2011-10-15,85
2011-10-16,88
2011-10-17,65
2011-10-18,69
2011-10-19,68
2011-10-20,70
2011-10-21,67
2011-10-22,82
2011-10-23,85
2011-10-24,61
2011-10-25,65
2011-10-26,65
2011-10-27,64
2011-10-28,59
2011-10-29,80
2011-10-30,77
2011-10-31,65


Top regions for league of legends
Region,league of legends
Greece,100
Denmark,84
Bulgaria,84
Sweden,78
Portugal,66
Czech Republic,62
Serbia,61
Norway,60
Poland,58
Canada,47
Germany,47
Romania,46
Philippines,45
Finland,45
Hungary,37
Austria,35
Australia,35
United States,31
Netherlands,30
Belgium,24
Chile,24
Spain,21
Russia,17
Argentina,15
United Kingdom,14
Brazil,12
France,11
Turkey,8
Italy,7
Mexico,7


Top cities for league of legends
Town/City,league of legends
Thessaloniki (Greece),100
Athens (Greece),53
Vancouver (Canada),42
Cracow (Poland),38
Belgrade (Serbia),37
Hanover (Germany),37
Stockholm (Sweden),29
Hamburg (Germany),27
Manila (Philippines),27
Bucharest (Romania),26
Warsaw (Poland),24
Montréal (Canada),22
Berlin (Germany),21
Singapore (Singapore),20
San Francisco (United States),19



Top searches for league of legends
lol,100
league wiki,55
dominion,30
league of legend,15
riven,15
mobafire,10
riot,10
iem,10
xerath,10
elo,10
talon,5
graves,5
lol download,5
solomid,5
leaguecraft,5
jax,5
lol wiki,5
league of teemo,5
leage of legends,5
riot points,5
heroes of newerth,5
dota 2,5
leauge of legends,5
own3d,5
ezreal,5
clg,5
twitch,5
leagueoflegends,5
morgana,5
lol game,5
singed,5
rule 34,5
olaf,5
sion,5
ashe build,5



Rising searches for league of legends
graves,Breakout
iem china,Breakout
iem new york,Breakout
magus,Breakout
pc gamer,Breakout
riven,Breakout
xerath,Breakout
iem,+160%
dominion,+50%
ezreal,+50%



