Web Search interest: league of legends
Worldwide Mar-Apr 2009

Interest over time
Week,league of legends
2009-03-01 - 2009-03-07,64
2009-03-08 - 2009-03-14,69
2009-03-15 - 2009-03-21,57
2009-03-22 - 2009-03-28,55
2009-03-29 - 2009-04-04,68
2009-04-05 - 2009-04-11,78
2009-04-12 - 2009-04-18,100
2009-04-19 - 2009-04-25,54
2009-04-26 - 2009-05-02,78









