Web Search interest: league of legends
Worldwide Jan-Feb 2011

Interest over time
Day,league of legends
2011-01-01,64
2011-01-02,72
2011-01-03,61
2011-01-04,70
2011-01-05,67
2011-01-06,60
2011-01-07,60
2011-01-08,72
2011-01-09,98
2011-01-10,55
2011-01-11,57
2011-01-12,55
2011-01-13,53
2011-01-14,58
2011-01-15,76
2011-01-16,76
2011-01-17,59
2011-01-18,100
2011-01-19,96
2011-01-20,62
2011-01-21,67
2011-01-22,82
2011-01-23,74
2011-01-24,57
2011-01-25,66
2011-01-26,59
2011-01-27,60
2011-01-28,64
2011-01-29,84
2011-01-30,85
2011-01-31,68
2011-02-01,85
2011-02-02,85
2011-02-03,72
2011-02-04,63
2011-02-05,83
2011-02-06,76
2011-02-07,59
2011-02-08,63
2011-02-09,62
2011-02-10,63
2011-02-11,75
2011-02-12,82
2011-02-13,83
2011-02-14,67
2011-02-15,67
2011-02-16,81
2011-02-17,77
2011-02-18,88
2011-02-19,85
2011-02-20,99
2011-02-21,68
2011-02-22,81
2011-02-23,68
2011-02-24,65
2011-02-25,65
2011-02-26,87
2011-02-27,92
2011-02-28,68


Top regions for league of legends
Region,league of legends
Denmark,100
Greece,96
Sweden,86
Portugal,73
Poland,63
Germany,60
Canada,54
United States,37
Australia,37
Netherlands,32
Spain,28
France,16
Brazil,13
United Kingdom,12


Top cities for league of legends
Town/City,league of legends
Vancouver (Canada),100
Athens (Greece),87
Hanover (Germany),79
Belgrade (Serbia),79
Hamburg (Germany),64
Cracow (Poland),62
Manila (Philippines),59
Cologne (Germany),56
Frankfurt (Germany),54
Stockholm (Sweden),54
Singapore (Singapore),53
Montréal (Canada),48
Berlin (Germany),44
Bucharest (Romania),44
Warsaw (Poland),41



Top searches for league of legends
lol,100
league wiki,45
league of legend,15
leaguecraft,15
mobafire,10
lol download,10
riot,10
ashe,10
caitlyn,5
heroes of newerth,5
katarina,5
elo,5
renekton,5
leage of legends,5
jax,5
pantheon,5
tristana,5
lol wiki,5
leauge of legends,5
league craft,5
maokai,5
olaf,5
teemo,5
magma chamber,5
riot points,5
twitch,5
lol eu,5
leagueoflegends,5
legue of legends,5
league of legens,5
dota 2,5
sona,5



Rising searches for league of legends
maokai,Breakout
renekton,Breakout
caitlyn,+60%
magma chamber,+50%
mobafire,+50%
katarina,+40%



