Web Search interest: league of legends
Worldwide Mar-Apr 2010

Interest over time
Day,league of legends
2010-03-01,36
2010-03-02,39
2010-03-03,36
2010-03-04,42
2010-03-05,43
2010-03-06,52
2010-03-07,62
2010-03-08,43
2010-03-09,35
2010-03-10,35
2010-03-11,41
2010-03-12,42
2010-03-13,51
2010-03-14,45
2010-03-15,46
2010-03-16,55
2010-03-17,38
2010-03-18,35
2010-03-19,45
2010-03-20,53
2010-03-21,46
2010-03-22,41
2010-03-23,37
2010-03-24,47
2010-03-25,57
2010-03-26,48
2010-03-27,58
2010-03-28,55
2010-03-29,45
2010-03-30,48
2010-03-31,62
2010-04-01,58
2010-04-02,61
2010-04-03,65
2010-04-04,67
2010-04-05,56
2010-04-06,47
2010-04-07,51
2010-04-08,70
2010-04-09,57
2010-04-10,100
2010-04-11,64
2010-04-12,42
2010-04-13,47
2010-04-14,43
2010-04-15,41
2010-04-16,44
2010-04-17,61
2010-04-18,54
2010-04-19,40
2010-04-20,43
2010-04-21,41
2010-04-22,49
2010-04-23,46
2010-04-24,57
2010-04-25,57
2010-04-26,40
2010-04-27,64
2010-04-28,45
2010-04-29,46
2010-04-30,55


Top regions for league of legends
Region,league of legends
Canada,100
Germany,96
United States,64
France,60


Top cities for league of legends
Town/City,league of legends
Montréal (Canada),100
Toronto (Canada),73
Los Angeles (United States),66
Warsaw (Poland),46
Frankfurt (Germany),46
Paris (France),33
Amsterdam (Netherlands),33
Madrid (Spain),29
London (United Kingdom),15



Top searches for league of legends
lol,100
league of legend,20
heroes of newerth,15
garen,10
lol download,10
leage of legends,10
elo,10
lol europe,10
leaguecraft,5



Rising searches for league of legends
garen,Breakout
leaguecraft,+70%



