Web Search interest: league of legends
Worldwide Nov-Dec 2009

Interest over time
Day,league of legends
2009-11-01,63
2009-11-02,41
2009-11-03,45
2009-11-04,44
2009-11-05,57
2009-11-06,44
2009-11-07,66
2009-11-08,70
2009-11-09,47
2009-11-10,45
2009-11-11,55
2009-11-12,52
2009-11-13,54
2009-11-14,77
2009-11-15,74
2009-11-16,49
2009-11-17,46
2009-11-18,49
2009-11-19,58
2009-11-20,70
2009-11-21,85
2009-11-22,74
2009-11-23,49
2009-11-24,53
2009-11-25,59
2009-11-26,65
2009-11-27,77
2009-11-28,93
2009-11-29,90
2009-11-30,68
2009-12-01,57
2009-12-02,80
2009-12-03,71
2009-12-04,80
2009-12-05,93
2009-12-06,94
2009-12-07,60
2009-12-08,64
2009-12-09,76
2009-12-10,65
2009-12-11,72
2009-12-12,84
2009-12-13,83
2009-12-14,65
2009-12-15,61
2009-12-16,64
2009-12-17,78
2009-12-18,77
2009-12-19,90
2009-12-20,96
2009-12-21,96
2009-12-22,85
2009-12-23,85
2009-12-24,89
2009-12-25,98
2009-12-26,96
2009-12-27,100
2009-12-28,81
2009-12-29,83
2009-12-30,80
2009-12-31,84


Top regions for league of legends
Region,league of legends
Germany,100
United States,77


Top cities for league of legends
Town/City,league of legends
Frankfurt (Germany),100
Madrid (Spain),60



Top searches for league of legends
lol,100
heroes of newerth,30
league of legend,20






