Web Search interest: league of legends
Worldwide Jul-Aug 2010

Interest over time
Day,league of legends
2010-07-01,39
2010-07-02,40
2010-07-03,45
2010-07-04,46
2010-07-05,39
2010-07-06,45
2010-07-07,44
2010-07-08,35
2010-07-09,37
2010-07-10,53
2010-07-11,57
2010-07-12,43
2010-07-13,79
2010-07-14,100
2010-07-15,63
2010-07-16,58
2010-07-17,66
2010-07-18,66
2010-07-19,50
2010-07-20,54
2010-07-21,54
2010-07-22,48
2010-07-23,48
2010-07-24,60
2010-07-25,64
2010-07-26,69
2010-07-27,86
2010-07-28,71
2010-07-29,50
2010-07-30,49
2010-07-31,68
2010-08-01,60
2010-08-02,50
2010-08-03,49
2010-08-04,55
2010-08-05,50
2010-08-06,49
2010-08-07,61
2010-08-08,58
2010-08-09,46
2010-08-10,56
2010-08-11,65
2010-08-12,56
2010-08-13,58
2010-08-14,57
2010-08-15,61
2010-08-16,56
2010-08-17,49
2010-08-18,68
2010-08-19,49
2010-08-20,53
2010-08-21,58
2010-08-22,83
2010-08-23,63
2010-08-24,57
2010-08-25,77
2010-08-26,63
2010-08-27,59
2010-08-28,62
2010-08-29,87
2010-08-30,52
2010-08-31,49


Top regions for league of legends
Region,league of legends
Canada,100
Poland,100
Germany,85
Australia,63
United States,63
France,55
Spain,51
United Kingdom,22


Top cities for league of legends
Town/City,league of legends
Seattle (United States),100
Montréal (Canada),96
Los Angeles (United States),93
Oslo (Norway),92
San Francisco (United States),88
Toronto (Canada),86
Lisbon (Portugal),80
Vienna (Austria),70
Warsaw (Poland),70
Chicago (United States),63
Brussels (Belgium),54
Frankfurt (Germany),49
Atlanta (United States),45
Amsterdam (Netherlands),41
Paris (France),40



Top searches for league of legends
lol,100
league of legend,20
leaguecraft,15
heroes of newerth,10
vladimir,10
ashe,10
xin zhao,10
leage of legends,5
elo,5
league craft,5
galio,5
lol download,5
urgot,5
lol wiki,5
leauge of legends,5
morgana,5



Rising searches for league of legends
galio,Breakout
urgot,Breakout
vladimir,Breakout
xin zhao,Breakout
morgana,+60%
leaguecraft,+40%



