Web Search interest: evil geniuses
Worldwide May-Jun 2014

Interest over time
Day,evil geniuses
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,63
2014-05-07,64
2014-05-08,48
2014-05-09,47
2014-05-10,52
2014-05-11,62
2014-05-12,45
2014-05-13,45
2014-05-14,45
2014-05-15,45
2014-05-16,41
2014-05-17,41
2014-05-18,41
2014-05-19,41
2014-05-20,43
2014-05-21,46
2014-05-22,49
2014-05-23,67
2014-05-24,72
2014-05-25,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,0
2014-06-03,0
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-07,76
2014-06-08,99
2014-06-09,80
2014-06-10,55
2014-06-11,60
2014-06-12,65
2014-06-13,69
2014-06-14,74
2014-06-15,76
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-21,0
2014-06-22,0
2014-06-23,63
2014-06-24,53
2014-06-25,55
2014-06-26,57
2014-06-27,59
2014-06-28,61
2014-06-29,100
2014-06-30,61









