Web Search interest: evil geniuses
Worldwide Sep-Oct 2014

Interest over time
Week,evil geniuses
2014-09-07 - 2014-09-13,79
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,54
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,82
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,80
2014-10-26 - 2014-11-01,100









