Web Search interest: league of legends world championship
Worldwide Mar-Apr 2015

Interest over time
Week,league of legends world championship
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,92
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,39
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,66
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,67









