Web Search interest: league of legends world championship
Worldwide Jul-Aug 2015

Interest over time
Week,league of legends world championship
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,35
2015-07-26 - 2015-08-01,58
2015-08-02 - 2015-08-08,30
2015-08-09 - 2015-08-15,45
2015-08-16 - 2015-08-22,49
2015-08-23 - 2015-08-29,86
2015-08-30 - 2015-09-05,100









