Web Search interest: league of legends world championship
Worldwide Jul-Aug 2013

Interest over time
Week,league of legends world championship
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,31
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,63
2013-08-18 - 2013-08-24,75
2013-08-25 - 2013-08-31,100









