Web Search interest: heroes of newerth
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of newerth
2015-03-01,64
2015-03-02,56
2015-03-03,46
2015-03-04,38
2015-03-05,49
2015-03-06,44
2015-03-07,68
2015-03-08,62
2015-03-09,50
2015-03-10,53
2015-03-11,40
2015-03-12,50
2015-03-13,55
2015-03-14,44
2015-03-15,54
2015-03-16,55
2015-03-17,43
2015-03-18,42
2015-03-19,33
2015-03-20,48
2015-03-21,61
2015-03-22,68
2015-03-23,53
2015-03-24,50
2015-03-25,46
2015-03-26,62
2015-03-27,45
2015-03-28,59
2015-03-29,100
2015-03-30,46
2015-03-31,69
2015-04-01,55
2015-04-02,51
2015-04-03,61
2015-04-04,49
2015-04-05,44
2015-04-06,45
2015-04-07,66
2015-04-08,46
2015-04-09,58
2015-04-10,43
2015-04-11,61
2015-04-12,39
2015-04-13,31
2015-04-14,50
2015-04-15,31
2015-04-16,51
2015-04-17,55
2015-04-18,60
2015-04-19,42
2015-04-20,38
2015-04-21,50
2015-04-22,37
2015-04-23,45
2015-04-24,58
2015-04-25,70
2015-04-26,48
2015-04-27,54
2015-04-28,41
2015-04-29,39
2015-04-30,46









