Web Search interest: heroes of newerth
Worldwide Sep-Oct 2011

Interest over time
Day,heroes of newerth
2011-09-01,49
2011-09-02,56
2011-09-03,62
2011-09-04,58
2011-09-05,48
2011-09-06,49
2011-09-07,52
2011-09-08,50
2011-09-09,100
2011-09-10,77
2011-09-11,69
2011-09-12,43
2011-09-13,45
2011-09-14,47
2011-09-15,42
2011-09-16,46
2011-09-17,47
2011-09-18,51
2011-09-19,41
2011-09-20,36
2011-09-21,43
2011-09-22,38
2011-09-23,41
2011-09-24,55
2011-09-25,52
2011-09-26,45
2011-09-27,43
2011-09-28,42
2011-09-29,35
2011-09-30,47
2011-10-01,59
2011-10-02,53
2011-10-03,40
2011-10-04,36
2011-10-05,38
2011-10-06,43
2011-10-07,43
2011-10-08,58
2011-10-09,67
2011-10-10,38
2011-10-11,33
2011-10-12,31
2011-10-13,36
2011-10-14,48
2011-10-15,51
2011-10-16,49
2011-10-17,39
2011-10-18,39
2011-10-19,36
2011-10-20,39
2011-10-21,57
2011-10-22,57
2011-10-23,53
2011-10-24,41
2011-10-25,34
2011-10-26,43
2011-10-27,43
2011-10-28,59
2011-10-29,60
2011-10-30,58
2011-10-31,43


Top regions for heroes of newerth
Region,heroes of newerth
Sweden,100
United States,11


Top cities for heroes of newerth
Town/City,heroes of newerth
Manila (Philippines),100
Stockholm (Sweden),84
Bangkok (Thailand),34



Top searches for heroes of newerth
hon,100
heros of newerth,10






