Web Search interest: heroes of newerth
Worldwide Sep-Oct 2013

Interest over time
Day,heroes of newerth
2013-09-01,72
2013-09-02,56
2013-09-03,56
2013-09-04,45
2013-09-05,61
2013-09-06,69
2013-09-07,80
2013-09-08,76
2013-09-09,57
2013-09-10,52
2013-09-11,84
2013-09-12,63
2013-09-13,59
2013-09-14,75
2013-09-15,71
2013-09-16,51
2013-09-17,59
2013-09-18,52
2013-09-19,50
2013-09-20,54
2013-09-21,74
2013-09-22,65
2013-09-23,62
2013-09-24,49
2013-09-25,56
2013-09-26,50
2013-09-27,51
2013-09-28,69
2013-09-29,91
2013-09-30,54
2013-10-01,45
2013-10-02,51
2013-10-03,59
2013-10-04,49
2013-10-05,74
2013-10-06,62
2013-10-07,50
2013-10-08,49
2013-10-09,100
2013-10-10,93
2013-10-11,79
2013-10-12,64
2013-10-13,70
2013-10-14,49
2013-10-15,47
2013-10-16,53
2013-10-17,53
2013-10-18,59
2013-10-19,70
2013-10-20,59
2013-10-21,53
2013-10-22,47
2013-10-23,67
2013-10-24,68
2013-10-25,62
2013-10-26,62
2013-10-27,71
2013-10-28,55
2013-10-29,51
2013-10-30,54
2013-10-31,44









