Web Search interest: heroes of newerth
Worldwide Jan 2009 - Jul 2015

Interest over time
Week,heroes of newerth
2009-01-04 - 2009-01-10,0
2009-01-11 - 2009-01-17,0
2009-01-18 - 2009-01-24,0
2009-01-25 - 2009-01-31,0
2009-02-01 - 2009-02-07,0
2009-02-08 - 2009-02-14,0
2009-02-15 - 2009-02-21,0
2009-02-22 - 2009-02-28,0
2009-03-01 - 2009-03-07,0
2009-03-08 - 2009-03-14,0
2009-03-15 - 2009-03-21,0
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,6
2009-07-05 - 2009-07-11,12
2009-07-12 - 2009-07-18,20
2009-07-19 - 2009-07-25,35
2009-07-26 - 2009-08-01,46
2009-08-02 - 2009-08-08,60
2009-08-09 - 2009-08-15,71
2009-08-16 - 2009-08-22,66
2009-08-23 - 2009-08-29,72
2009-08-30 - 2009-09-05,82
2009-09-06 - 2009-09-12,69
2009-09-13 - 2009-09-19,73
2009-09-20 - 2009-09-26,70
2009-09-27 - 2009-10-03,68
2009-10-04 - 2009-10-10,69
2009-10-11 - 2009-10-17,65
2009-10-18 - 2009-10-24,70
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,64
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,65
2009-11-29 - 2009-12-05,67
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,65
2009-12-20 - 2009-12-26,78
2009-12-27 - 2010-01-02,66
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,67
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,64
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,51
2010-03-14 - 2010-03-20,53
2010-03-21 - 2010-03-27,88
2010-03-28 - 2010-04-03,100
