Web Search interest: heroes of newerth
Worldwide May-Jun 2014

Interest over time
Day,heroes of newerth
2014-05-01,66
2014-05-02,68
2014-05-03,70
2014-05-04,67
2014-05-05,47
2014-05-06,54
2014-05-07,72
2014-05-08,72
2014-05-09,55
2014-05-10,70
2014-05-11,76
2014-05-12,53
2014-05-13,53
2014-05-14,59
2014-05-15,51
2014-05-16,49
2014-05-17,85
2014-05-18,52
2014-05-19,44
2014-05-20,60
2014-05-21,88
2014-05-22,58
2014-05-23,70
2014-05-24,70
2014-05-25,60
2014-05-26,62
2014-05-27,78
2014-05-28,75
2014-05-29,75
2014-05-30,78
2014-05-31,92
2014-06-01,78
2014-06-02,61
2014-06-03,69
2014-06-04,74
2014-06-05,76
2014-06-06,74
2014-06-07,84
2014-06-08,80
2014-06-09,75
2014-06-10,66
2014-06-11,62
2014-06-12,52
2014-06-13,58
2014-06-14,100
2014-06-15,91
2014-06-16,67
2014-06-17,70
2014-06-18,71
2014-06-19,73
2014-06-20,72
2014-06-21,89
2014-06-22,78
2014-06-23,48
2014-06-24,61
2014-06-25,61
2014-06-26,67
2014-06-27,61
2014-06-28,100
2014-06-29,93
2014-06-30,65









