Web Search interest: heroes of newerth
Worldwide May-Jun 2015

Interest over time
Day,heroes of newerth
2015-05-01,75
2015-05-02,77
2015-05-03,77
2015-05-04,79
2015-05-05,100
2015-05-06,79
2015-05-07,96
2015-05-08,76
2015-05-09,98
2015-05-10,97
2015-05-11,49
2015-05-12,82
2015-05-13,65
2015-05-14,80
2015-05-15,77
2015-05-16,73
2015-05-17,56
2015-05-18,68
2015-05-19,59
2015-05-20,48
2015-05-21,64
2015-05-22,71
2015-05-23,64
2015-05-24,72
2015-05-25,57
2015-05-26,47
2015-05-27,52
2015-05-28,49
2015-05-29,73
2015-05-30,75
2015-05-31,70
2015-06-01,56
2015-06-02,67
2015-06-03,68
2015-06-04,55
2015-06-05,66
2015-06-06,64
2015-06-07,67
2015-06-08,47
2015-06-09,61
2015-06-10,81
2015-06-11,63
2015-06-12,82
2015-06-13,98
2015-06-14,72
2015-06-15,83
2015-06-16,68
2015-06-17,59
2015-06-18,76
2015-06-19,82
2015-06-20,82
2015-06-21,83
2015-06-22,60
2015-06-23,65
2015-06-24,59
2015-06-25,67
2015-06-26,69
2015-06-27,51
2015-06-28,61
2015-06-29,49
2015-06-30,74









