Web Search interest: heroes of newerth
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of newerth
2014-03-01,83
2014-03-02,68
2014-03-03,57
2014-03-04,50
2014-03-05,53
2014-03-06,54
2014-03-07,71
2014-03-08,75
2014-03-09,68
2014-03-10,47
2014-03-11,60
2014-03-12,65
2014-03-13,90
2014-03-14,93
2014-03-15,93
2014-03-16,97
2014-03-17,88
2014-03-18,83
2014-03-19,62
2014-03-20,73
2014-03-21,69
2014-03-22,100
2014-03-23,62
2014-03-24,63
2014-03-25,56
2014-03-26,78
2014-03-27,64
2014-03-28,77
2014-03-29,88
2014-03-30,76
2014-03-31,41
2014-04-01,55
2014-04-02,57
2014-04-03,66
2014-04-04,64
2014-04-05,66
2014-04-06,65
2014-04-07,52
2014-04-08,69
2014-04-09,77
2014-04-10,72
2014-04-11,70
2014-04-12,84
2014-04-13,89
2014-04-14,72
2014-04-15,66
2014-04-16,71
2014-04-17,66
2014-04-18,69
2014-04-19,79
2014-04-20,85
2014-04-21,74
2014-04-22,50
2014-04-23,63
2014-04-24,71
2014-04-25,64
2014-04-26,73
2014-04-27,61
2014-04-28,41
2014-04-29,53
2014-04-30,59









