Web Search interest: heroes of newerth
Worldwide May-Jun 2013

Interest over time
Day,heroes of newerth
2013-05-01,68
2013-05-02,62
2013-05-03,100
2013-05-04,91
2013-05-05,97
2013-05-06,74
2013-05-07,62
2013-05-08,77
2013-05-09,66
2013-05-10,83
2013-05-11,89
2013-05-12,82
2013-05-13,69
2013-05-14,59
2013-05-15,54
2013-05-16,66
2013-05-17,80
2013-05-18,85
2013-05-19,92
2013-05-20,56
2013-05-21,58
2013-05-22,70
2013-05-23,65
2013-05-24,63
2013-05-25,75
2013-05-26,78
2013-05-27,84
2013-05-28,57
2013-05-29,45
2013-05-30,66
2013-05-31,70
2013-06-01,60
2013-06-02,80
2013-06-03,46
2013-06-04,60
2013-06-05,63
2013-06-06,54
2013-06-07,58
2013-06-08,70
2013-06-09,69
2013-06-10,65
2013-06-11,54
2013-06-12,57
2013-06-13,60
2013-06-14,61
2013-06-15,83
2013-06-16,80
2013-06-17,61
2013-06-18,60
2013-06-19,67
2013-06-20,63
2013-06-21,64
2013-06-22,81
2013-06-23,73
2013-06-24,65
2013-06-25,62
2013-06-26,52
2013-06-27,63
2013-06-28,69
2013-06-29,69
2013-06-30,87









