Web Search interest: heroes of newerth
Worldwide Jul-Aug 2013

Interest over time
Day,heroes of newerth
2013-07-01,54
2013-07-02,55
2013-07-03,55
2013-07-04,57
2013-07-05,61
2013-07-06,56
2013-07-07,71
2013-07-08,45
2013-07-09,52
2013-07-10,56
2013-07-11,51
2013-07-12,61
2013-07-13,64
2013-07-14,86
2013-07-15,64
2013-07-16,76
2013-07-17,50
2013-07-18,62
2013-07-19,81
2013-07-20,57
2013-07-21,64
2013-07-22,49
2013-07-23,54
2013-07-24,66
2013-07-25,61
2013-07-26,69
2013-07-27,74
2013-07-28,71
2013-07-29,47
2013-07-30,56
2013-07-31,48
2013-08-01,56
2013-08-02,72
2013-08-03,56
2013-08-04,63
2013-08-05,53
2013-08-06,55
2013-08-07,56
2013-08-08,64
2013-08-09,71
2013-08-10,64
2013-08-11,76
2013-08-12,62
2013-08-13,51
2013-08-14,100
2013-08-15,61
2013-08-16,66
2013-08-17,64
2013-08-18,62
2013-08-19,47
2013-08-20,42
2013-08-21,44
2013-08-22,50
2013-08-23,54
2013-08-24,51
2013-08-25,60
2013-08-26,39
2013-08-27,43
2013-08-28,46
2013-08-29,49
2013-08-30,58
2013-08-31,63









