Web Search interest: heroes of newerth
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of newerth
2014-07-01,61
2014-07-02,77
2014-07-03,68
2014-07-04,74
2014-07-05,71
2014-07-06,80
2014-07-07,62
2014-07-08,56
2014-07-09,67
2014-07-10,63
2014-07-11,56
2014-07-12,74
2014-07-13,100
2014-07-14,65
2014-07-15,74
2014-07-16,62
2014-07-17,59
2014-07-18,62
2014-07-19,67
2014-07-20,80
2014-07-21,51
2014-07-22,62
2014-07-23,51
2014-07-24,62
2014-07-25,60
2014-07-26,80
2014-07-27,78
2014-07-28,63
2014-07-29,51
2014-07-30,61
2014-07-31,54
2014-08-01,60
2014-08-02,57
2014-08-03,62
2014-08-04,60
2014-08-05,54
2014-08-06,61
2014-08-07,63
2014-08-08,39
2014-08-09,55
2014-08-10,66
2014-08-11,53
2014-08-12,51
2014-08-13,65
2014-08-14,54
2014-08-15,45
2014-08-16,63
2014-08-17,72
2014-08-18,38
2014-08-19,50
2014-08-20,50
2014-08-21,52
2014-08-22,47
2014-08-23,71
2014-08-24,47
2014-08-25,46
2014-08-26,46
2014-08-27,54
2014-08-28,48
2014-08-29,58
2014-08-30,59
2014-08-31,62









