Web Search interest: heroes of newerth
Worldwide Jul-Aug 2015

Interest over time
Day,heroes of newerth
2015-07-01,47
2015-07-02,55
2015-07-03,42
2015-07-04,46
2015-07-05,47
2015-07-06,48
2015-07-07,33
2015-07-08,38
2015-07-09,45
2015-07-10,38
2015-07-11,38
2015-07-12,35
2015-07-13,42
2015-07-14,100
2015-07-15,35
2015-07-16,58
2015-07-17,34
2015-07-18,48
2015-07-19,53
2015-07-20,49
2015-07-21,38
2015-07-22,38
2015-07-23,47
2015-07-24,41
2015-07-25,42
2015-07-26,46
2015-07-27,35
2015-07-28,59
2015-07-29,58
2015-07-30,56
2015-07-31,51
2015-08-01,65
2015-08-02,49
2015-08-03,36
2015-08-04,47
2015-08-05,48
2015-08-06,51
2015-08-07,53
2015-08-08,46
2015-08-09,58
2015-08-10,40
2015-08-11,52
2015-08-12,43
2015-08-13,49
2015-08-14,42
2015-08-15,51
2015-08-16,69
2015-08-17,46
2015-08-18,38
2015-08-19,41
2015-08-20,35
2015-08-21,40
2015-08-22,45
2015-08-23,58
2015-08-24,41
2015-08-25,40
2015-08-26,47
2015-08-27,44
2015-08-28,32
2015-08-29,48
2015-08-30,42
2015-08-31,31









