Web Search interest: heroes of newerth
Worldwide Sep-Oct 2014

Interest over time
Day,heroes of newerth
2014-09-01,52
2014-09-02,46
2014-09-03,50
2014-09-04,53
2014-09-05,41
2014-09-06,67
2014-09-07,60
2014-09-08,48
2014-09-09,43
2014-09-10,55
2014-09-11,38
2014-09-12,43
2014-09-13,44
2014-09-14,57
2014-09-15,35
2014-09-16,32
2014-09-17,35
2014-09-18,40
2014-09-19,44
2014-09-20,52
2014-09-21,51
2014-09-22,41
2014-09-23,55
2014-09-24,53
2014-09-25,43
2014-09-26,54
2014-09-27,54
2014-09-28,57
2014-09-29,42
2014-09-30,29
2014-10-01,40
2014-10-02,35
2014-10-03,49
2014-10-04,37
2014-10-05,48
2014-10-06,43
2014-10-07,35
2014-10-08,43
2014-10-09,34
2014-10-10,43
2014-10-11,47
2014-10-12,38
2014-10-13,43
2014-10-14,39
2014-10-15,44
2014-10-16,40
2014-10-17,48
2014-10-18,55
2014-10-19,100
2014-10-20,48
2014-10-21,66
2014-10-22,50
2014-10-23,45
2014-10-24,41
2014-10-25,59
2014-10-26,45
2014-10-27,47
2014-10-28,49
2014-10-29,47
2014-10-30,49
2014-10-31,44









