Web Search interest: heroes of newerth
Worldwide Jan-Feb 2014

Interest over time
Day,heroes of newerth
2014-01-01,83
2014-01-02,86
2014-01-03,74
2014-01-04,94
2014-01-05,80
2014-01-06,73
2014-01-07,66
2014-01-08,65
2014-01-09,72
2014-01-10,66
2014-01-11,92
2014-01-12,78
2014-01-13,65
2014-01-14,85
2014-01-15,85
2014-01-16,84
2014-01-17,74
2014-01-18,96
2014-01-19,97
2014-01-20,69
2014-01-21,63
2014-01-22,73
2014-01-23,67
2014-01-24,72
2014-01-25,100
2014-01-26,88
2014-01-27,62
2014-01-28,59
2014-01-29,77
2014-01-30,59
2014-01-31,58
2014-02-01,88
2014-02-02,94
2014-02-03,72
2014-02-04,75
2014-02-05,60
2014-02-06,57
2014-02-07,69
2014-02-08,79
2014-02-09,63
2014-02-10,62
2014-02-11,62
2014-02-12,66
2014-02-13,64
2014-02-14,75
2014-02-15,67
2014-02-16,88
2014-02-17,69
2014-02-18,55
2014-02-19,64
2014-02-20,71
2014-02-21,74
2014-02-22,92
2014-02-23,77
2014-02-24,59
2014-02-25,54
2014-02-26,77
2014-02-27,76
2014-02-28,59









