Web Search interest: heroes of newerth
Worldwide May-Jun 2010

Interest over time
Day,heroes of newerth
2010-05-01,75
2010-05-02,68
2010-05-03,45
2010-05-04,54
2010-05-05,47
2010-05-06,45
2010-05-07,46
2010-05-08,61
2010-05-09,57
2010-05-10,100
2010-05-11,56
2010-05-12,80
2010-05-13,94
2010-05-14,55
2010-05-15,63
2010-05-16,54
2010-05-17,40
2010-05-18,32
2010-05-19,33
2010-05-20,29
2010-05-21,31
2010-05-22,48
2010-05-23,44
2010-05-24,37
2010-05-25,30
2010-05-26,34
2010-05-27,26
2010-05-28,33
2010-05-29,33
2010-05-30,41
2010-05-31,30
2010-06-01,28
2010-06-02,24
2010-06-03,32
2010-06-04,31
2010-06-05,40
2010-06-06,37
2010-06-07,28
2010-06-08,29
2010-06-09,29
2010-06-10,27
2010-06-11,28
2010-06-12,32
2010-06-13,30
2010-06-14,28
2010-06-15,26
2010-06-16,22
2010-06-17,25
2010-06-18,25
2010-06-19,46
2010-06-20,47
2010-06-21,29
2010-06-22,26
2010-06-23,27
2010-06-24,27
2010-06-25,29
2010-06-26,38
2010-06-27,35
2010-06-28,25
2010-06-29,25
2010-06-30,27


Top regions for heroes of newerth
Region,heroes of newerth
Sweden,100
United States,9


Top cities for heroes of newerth
Town/City,heroes of newerth
Stockholm (Sweden),100
Bangkok (Thailand),44



Top searches for heroes of newerth
hon,100
league of legends,25



Rising searches for heroes of newerth
league of legends,+60%



