Web Search interest: monkey business
Worldwide Jul-Aug 2014

Interest over time
Day,monkey business
2014-07-01,39
2014-07-02,53
2014-07-03,41
2014-07-04,44
2014-07-05,49
2014-07-06,55
2014-07-07,49
2014-07-08,47
2014-07-09,48
2014-07-10,55
2014-07-11,55
2014-07-12,62
2014-07-13,68
2014-07-14,54
2014-07-15,38
2014-07-16,57
2014-07-17,43
2014-07-18,39
2014-07-19,58
2014-07-20,53
2014-07-21,55
2014-07-22,51
2014-07-23,51
2014-07-24,59
2014-07-25,54
2014-07-26,49
2014-07-27,58
2014-07-28,55
2014-07-29,52
2014-07-30,56
2014-07-31,51
2014-08-01,69
2014-08-02,66
2014-08-03,100
2014-08-04,51
2014-08-05,54
2014-08-06,60
2014-08-07,69
2014-08-08,50
2014-08-09,58
2014-08-10,56
2014-08-11,46
2014-08-12,46
2014-08-13,66
2014-08-14,50
2014-08-15,49
2014-08-16,44
2014-08-17,53
2014-08-18,50
2014-08-19,40
2014-08-20,47
2014-08-21,60
2014-08-22,60
2014-08-23,59
2014-08-24,65
2014-08-25,52
2014-08-26,48
2014-08-27,51
2014-08-28,44
2014-08-29,52
2014-08-30,52
2014-08-31,67









