Web Search interest: monkey business
Worldwide May-Jun 2015

Interest over time
Day,monkey business
2015-05-01,83
2015-05-02,92
2015-05-03,84
2015-05-04,70
2015-05-05,79
2015-05-06,69
2015-05-07,85
2015-05-08,75
2015-05-09,83
2015-05-10,93
2015-05-11,80
2015-05-12,87
2015-05-13,83
2015-05-14,84
2015-05-15,86
2015-05-16,86
2015-05-17,75
2015-05-18,88
2015-05-19,72
2015-05-20,67
2015-05-21,90
2015-05-22,77
2015-05-23,91
2015-05-24,81
2015-05-25,72
2015-05-26,78
2015-05-27,63
2015-05-28,86
2015-05-29,100
2015-05-30,80
2015-05-31,86
2015-06-01,91
2015-06-02,75
2015-06-03,63
2015-06-04,74
2015-06-05,88
2015-06-06,64
2015-06-07,78
2015-06-08,76
2015-06-09,58
2015-06-10,86
2015-06-11,66
2015-06-12,82
2015-06-13,91
2015-06-14,78
2015-06-15,84
2015-06-16,94
2015-06-17,70
2015-06-18,64
2015-06-19,82
2015-06-20,83
2015-06-21,81
2015-06-22,76
2015-06-23,78
2015-06-24,73
2015-06-25,69
2015-06-26,67
2015-06-27,68
2015-06-28,68
2015-06-29,83
2015-06-30,72









