Web Search interest: monkey business
Worldwide Jan-Feb 2015

Interest over time
Day,monkey business
2015-01-01,58
2015-01-02,50
2015-01-03,54
2015-01-04,48
2015-01-05,60
2015-01-06,54
2015-01-07,52
2015-01-08,55
2015-01-09,50
2015-01-10,65
2015-01-11,41
2015-01-12,55
2015-01-13,54
2015-01-14,58
2015-01-15,49
2015-01-16,56
2015-01-17,57
2015-01-18,53
2015-01-19,63
2015-01-20,50
2015-01-21,40
2015-01-22,56
2015-01-23,56
2015-01-24,69
2015-01-25,60
2015-01-26,43
2015-01-27,57
2015-01-28,58
2015-01-29,58
2015-01-30,52
2015-01-31,61
2015-02-01,55
2015-02-02,51
2015-02-03,57
2015-02-04,58
2015-02-05,51
2015-02-06,56
2015-02-07,56
2015-02-08,78
2015-02-09,54
2015-02-10,62
2015-02-11,56
2015-02-12,53
2015-02-13,74
2015-02-14,100
2015-02-15,95
2015-02-16,83
2015-02-17,59
2015-02-18,63
2015-02-19,63
2015-02-20,63
2015-02-21,91
2015-02-22,70
2015-02-23,66
2015-02-24,51
2015-02-25,58
2015-02-26,48
2015-02-27,72
2015-02-28,78









