Web Search interest: monkey business
Worldwide Jan-Feb 2015

Interest over time
Day,monkey business
2015-01-01,53
2015-01-02,53
2015-01-03,59
2015-01-04,39
2015-01-05,59
2015-01-06,58
2015-01-07,39
2015-01-08,41
2015-01-09,56
2015-01-10,55
2015-01-11,57
2015-01-12,56
2015-01-13,52
2015-01-14,61
2015-01-15,60
2015-01-16,46
2015-01-17,39
2015-01-18,60
2015-01-19,62
2015-01-20,49
2015-01-21,47
2015-01-22,48
2015-01-23,69
2015-01-24,46
2015-01-25,53
2015-01-26,44
2015-01-27,46
2015-01-28,56
2015-01-29,52
2015-01-30,47
2015-01-31,51
2015-02-01,52
2015-02-02,55
2015-02-03,41
2015-02-04,42
2015-02-05,49
2015-02-06,37
2015-02-07,44
2015-02-08,41
2015-02-09,40
2015-02-10,42
2015-02-11,48
2015-02-12,52
2015-02-13,79
2015-02-14,100
2015-02-15,100
2015-02-16,75
2015-02-17,66
2015-02-18,68
2015-02-19,65
2015-02-20,76
2015-02-21,74
2015-02-22,63
2015-02-23,59
2015-02-24,49
2015-02-25,47
2015-02-26,68
2015-02-27,47
2015-02-28,73









