Web Search interest: monkey business
Worldwide Sep-Oct 2014

Interest over time
Day,monkey business
2014-09-01,52
2014-09-02,49
2014-09-03,48
2014-09-04,69
2014-09-05,62
2014-09-06,52
2014-09-07,82
2014-09-08,43
2014-09-09,72
2014-09-10,52
2014-09-11,61
2014-09-12,59
2014-09-13,59
2014-09-14,58
2014-09-15,52
2014-09-16,46
2014-09-17,61
2014-09-18,53
2014-09-19,60
2014-09-20,64
2014-09-21,75
2014-09-22,59
2014-09-23,41
2014-09-24,67
2014-09-25,62
2014-09-26,50
2014-09-27,59
2014-09-28,62
2014-09-29,43
2014-09-30,56
2014-10-01,68
2014-10-02,69
2014-10-03,57
2014-10-04,70
2014-10-05,100
2014-10-06,41
2014-10-07,49
2014-10-08,59
2014-10-09,61
2014-10-10,54
2014-10-11,48
2014-10-12,54
2014-10-13,45
2014-10-14,69
2014-10-15,63
2014-10-16,70
2014-10-17,48
2014-10-18,58
2014-10-19,68
2014-10-20,45
2014-10-21,68
2014-10-22,61
2014-10-23,53
2014-10-24,48
2014-10-25,74
2014-10-26,63
2014-10-27,69
2014-10-28,61
2014-10-29,57
2014-10-30,53
2014-10-31,54









