United States,0
Canada,334
Japan,292
New Zealand,228
Colombia,36
Spain,123
Vietnam,240
Sweden,885
Thailand,607
Venezuela,229
Moldova,199
Turkey,149
Brasil,176
Ecuador,164
Paraguay,205
Australia,70
Philippines,596
Mexico,278
Ireland,878
Luxembourg,23
India,80
France,127
Italy,609
Israel,299
Bulgaria,232
Bolivia,106
South Korea,392
Kosovo,298
China,47
Greece,1105
United Arab Emirates,16
Russia,371
Indonesia,239
Denmark,80
Montenegro,203
San Marino,105
Belgium,18
Poland,0
Malta,128
