Web Search interest: lol tsm
Worldwide Jan-Feb 2012

Interest over time
Week,lol tsm
2012-01-01 - 2012-01-07,55
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,56
2012-01-22 - 2012-01-28,100
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,86
2012-02-26 - 2012-03-03,68









